formula,formation energy
((C2H5)NH3)(C2O4)2(Fe2(OH)Cl2)(H2O)2,-1.11
K6(CoS4),-1.11
Rb3(Zr2P5S18),-1.11
InCl,-1.12
PCl4TeCl5,-1.12
Cs3(Zr2P5S18),-1.12
(Fe(C2O4))(CH3OH),-1.13
PrIrP,-1.13
(Hg3)3(AsO4)4,-1.13
TaSe2,-1.13
RbVI3,-1.13
Cs3Hf2(P2S7)2(PS4),-1.13
C4H3NaO5,-1.14
KClO3,-1.14
C4H3NaO5,-1.14
Li2ZnSnS4,-1.15
Rb(ClO3),-1.15
K6HgS4,-1.15
(NH4)2(HN3O6S3),-1.15
LaRhAs,-1.16
NbSe2,-1.16
LiH6ClO7,-1.17
Nd1Pt1Sb1,-1.17
NdPtSb,-1.17
Sr(AsUO6)2(H2O)8,-1.17
RbInI4,-1.18
NdPdAs,-1.18
SmPdAs,-1.18
K2(Ni(NO3)4),-1.19
K6Fe2O5,-1.19
Na6(MnS4),-1.19
K2(Ni(NO3)4),-1.19
K6Fe2O5,-1.19
LaIrP,-1.2
MoS2,-1.2
CeIrP,-1.21
Na(OCN),-1.21
Li(N2H5)(SO4),-1.21
RbTiI3,-1.22
Na6ZnS4,-1.22
MgAl2Se4,-1.23
La14(C2)7Cl9,-1.25
BaBi2O2I2,-1.26
Cs2(W6Cl8Br6),-1.26
Tl10Sb2O10,-1.26
((NH3)4Ru(SO2)(CF3COO))(CF3COO)(CF3COOH),-1.26
BaYb(Si4N7),-1.27
Ba(B2S4),-1.27
Ta4S9Br8,-1.28
H2O,-1.28
CoO,-1.28
CdBr2,-1.29
Li6(PS4)(SI),-1.3
Si3N4,-1.3
Cu6Al(SO4)(OH)12Cl(H2O)3,-1.31
EuYb(Si4N7),-1.31
BN,-1.32
Ba3Fe3Se7,-1.32
LiMnH6O7,-1.32
BN,-1.32
(Mn(NH2(CH2PO3H)(CH2PO3)))(H2O),-1.32
(SnCl4(H2O)2)(H2O)2,-1.32
N10Si7Sr1,-1.32
Pb2Cu(OH)4Cl2,-1.33
Ca(IO3)2(H2O)6,-1.34
NbS2,-1.35
Fe2(SeO3)3(H2O)3,-1.35
K6CdO4,-1.35
Ag8W4O16,-1.35
H2SO4(H2O)8,-1.35
NaAg(S2O3)(H2O),-1.36
(C(NH2)3)Al(SO4)2(H2O)6,-1.36
CdO,-1.36
K2H(IO3)2Cl,-1.36
BN,-1.37
Cu(SO4)(H2O)3,-1.38
Rb(IO3),-1.38
TaS2,-1.38
K(IO3),-1.38
Rb2Nd(NO3)5(H2O)4,-1.39
Rb2Pr(NO3)5(H2O)4,-1.39
In2(Se2O5)3,-1.39
Cs6Fe2O5,-1.4
Na2(CO3)(H2O)10,-1.4
ZrN,-1.41
Cd(OH)Cl,-1.42
CrO(OH)(H2O)2,-1.43
K(NO3),-1.43
EuY(Si4N7),-1.43
CrO(OH)(H2O)2,-1.43
((Nb3SBr3)Br4),-1.44
BaY(Si4N7),-1.44
Ce3(Si6N11),-1.45
SrY(Si4N7),-1.45
Ga2(SeO3)3(H2O)3,-1.46
(Mg(H2O)6)2(MnCl6),-1.46
CsCuCl3,-1.46
NaYI4O12,-1.46
Bi(CoO3),-1.47
NH4(F(HF)3),-1.47
TbSe,-1.47
Cu3(OH)2(V2O7)(H2O)2,-1.48
Pr3(Si6N11),-1.48
In2Cu2O5,-1.48
Pr(BN2),-1.49
ZnO,-1.49
LiNiO2,-1.5
Sm3(Si6N11),-1.5
Cs(GeBr3),-1.5
PdF4,-1.5
LaN,-1.5
PdF4,-1.5
La(IO3)3,-1.51
NaK(TeO3)(H2O)3,-1.51
SmSe,-1.51
DySe,-1.51
CsLi3I4,-1.51
Rb4(CO4),-1.51
La(IO3)3,-1.51
